[
  "number",
  "state",
  "severity",
  "pkg",
  "ecosystem",
  "manifest",
  "range"
]
"16","open","critical","System.Drawing.Common","nuget","n/a",">= 4.0.0, < 4.7.2"
"15","open","medium","Microsoft.AspNetCore.App","nuget","n/a",">= 2.2.0, < 2.2.6"
"14","open","high","System.Linq.Dynamic.Core","nuget","n/a","< 1.6.0"
"13","open","medium","Microsoft.AspNetCore.App","nuget","n/a",">= 2.2.0, < 2.2.6"
"12","open","low","Magick.NET-Q8-x64","nuget","n/a","< 14.8.2"
"11","open","high","Magick.NET-Q8-x64","nuget","n/a","< 14.8.1"
"10","open","low","Magick.NET-Q8-x64","nuget","n/a","< 14.8.1"
"9","open","medium","Magick.NET-Q8-x64","nuget","n/a","< 14.8.0"
"8","open","high","Magick.NET-Q8-x64","nuget","n/a","< 14.8.0"
"7","open","high","Magick.NET-Q8-x64","nuget","n/a","< 14.8.0"
"6","open","low","Magick.NET-Q8-x64","nuget","n/a","< 14.7.0"
"5","open","low","Magick.NET-Q8-x64","nuget","n/a","< 14.7.0"
"4","open","high","Magick.NET-Q8-x64","nuget","n/a","< 14.7.0"
"3","open","high","Magick.NET-Q8-x64","nuget","n/a","< 14.7.0"
"2","open","medium","RestSharp","nuget","n/a",">= 107.0.0-preview.1, < 112.0.0"
"1","open","medium","Microsoft.AspNetCore.App","nuget","n/a",">= 2.2.0, < 2.2.6"
